,Product_Name,Ratings,Questions_Answered,Current_Price,Savings,Category
0,Vaunn Medical Tool-Free Assembly Spa Bathtub Adjustable Shower Chair Seat Bench with Removable Back,"1,853 ratings",176 answered questions,$39.99,[],"Mobility & Daily Living Aids › Bathroom Safety, Aids & Accessories › Bath & Shower Aids › Bath & Shower Safety Seating & Transfer Benches"
1,Forge Thin Blue Line Flag Police Pin (Value Pack),[],4 answered questions,$8.99,[],"Clothing, Shoes & Jewelry › Men › Jewelry › Tie Pins"
2,Horseback Riding Gifts Keep Calm Chin Up Heels Down Equestrian Gift Coffee Mug Tea Cup Pink,30 ratings,[],$14.99,[],Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Novelty › Drinkware › Coffee Mugs
3,Shawn Mendes - Treat You Better - Sheet Music Single,[],[],$9.99,[],Musical Instruments › Instrument Accessories › General Accessories
4,[],[],[],[],[],[]
5,Funny Work T-Shirt Attention Grabber 100% Cotton Fire Me I Beg You,[],[],[],[],"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees"
6,[],[],[],[],[],[]
7,Home Decorators Anya 3 Light Chrome Semi Flush Mount Pleated Cream Fabric Shade,1 rating,[],[],[],Tools & Home Improvement › Lighting & Ceiling Fans › Ceiling Lights › Close To Ceiling Lights
8,JANIZZ 2.20 MM Hand Made 14KT Gold Nose Stud Nose PIN with Diamond .03 Cents with Certificate Twist Screw 25G,[],[],[],[],"Clothing, Shoes & Jewelry › Women › Jewelry › Body Jewelry › Piercing Jewelry"
9,"mySimple Products Safe & Non-Toxic {Various Sizes} 1 Pound Bag of Gravel, Rocks & Stones Decor Made of Genuine Glass for Freshwater & Saltwater Aquarium w/Dark Polished Edgy Smooth Bead Style [Black]",[],[],$17.49,[],Pet Supplies › Fish & Aquatic Pets › Aquarium Substrate › Gravel
10,Kindle Edition,[],[],[],[],Kindle Store › Kindle eBooks › Science Fiction & Fantasy
11,[],[],[],[],[],[]
12,KECC Laptop Case for Old MacBook Pro 13” Retina (-2015) Plastic Case Hard Shell Cover A1502 / A1425 (Nebula),"3,797 ratings",173 answered questions,$19.99,[],"Electronics › Computers & Accessories › Laptop Accessories › Bags, Cases & Sleeves › Hard Shell Cases"
13,[],[],[],[],[],[]
14,[],[],[],[],[],[]
15,[],[],[],[],[],[]
16,Will & Grace Debra Messing as Grace Adler Arms Crossed in Purple 8 x 10 inch Photo,[],[],$7.95,[],Collectibles & Fine Art › Entertainment › Photographs
17,[],[],[],[],[],[]
