,Product_Name,Ratings,Questions_Answered,Current_Price,Savings,Category
0,Ocean side Silver And Solid 14k Gold Balls Hoop Earrings.,[],[],[],[],"Clothing, Shoes & Jewelry › Women › Jewelry › Earrings › Hoop"
1,[],[],[],[],[],[]
2,"""Mini Suction Cup Dent Puller Remover Tool"" shopping",2 ratings,[],[],[],[]
3,HKSUNKIN Flip Mobile CELL Phone for Senior Elder QUAD Band GSM BIG KEY BIG FONT LOUD RING,1 rating,6 answered questions,[],[],[]
4,YICHUMY 2 Packs! Replacement USB Data Cable Cord Lead For SONY NWZ-A15 NWZ-A17 MP3 PLAYER Sony Walkman NWZ S544 S545 charger cable,50 ratings,16 answered questions,$8.99,[],Electronics › Computers & Accessories › Computer Accessories & Peripherals › Cables & Interconnects › USB Cables
5,Fisher-Price Rock-a-Stack,"1,841 ratings",36 answered questions,$5.00,$1.99 (28%),Toys & Games › Baby & Toddler Toys › Sorting & Stacking Toys
6,[],[],[],[],[],[]
7,Pende Danganronpa Junko Despair Coffee Raglan 3/4 Sleeve Hip Hop Tee Woman,[],[],[],[],"Clothing, Shoes & Jewelry › Women › Clothing › Tops, Tees & Blouses › T-Shirts"
8,kate spade new york Healy Lane Lilith,[],[],$258.00,[],"Clothing, Shoes & Jewelry › Women › Contemporary & Designer › Handbags & Wallets › Cross-Body Bags"
9,"Sylus, Styluses, Styli -Super Precision Universal Multi-tip Stylus with Fine Point Tip Disc and Fiber Tip, Retail Packaging",126 ratings,19 answered questions,[],[],[]
10,[],[],[],[],[],Apps & Games › Utilities › Web Browsers
11,Greetings from Council Bluffs Iowa Fridge Magnet (2 x 3 inches),[],[],$6.95,[],Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Kitchen Accessories › Refrigerator Magnets
12,"Be alone, that is the secret of invention - Nikola Tesla - NEW Motivational Poster",[],[],$9.99,[],Office Products › Office & School Supplies › Education & Crafts › Arts & Crafts Supplies › Classroom Decorations › Educational Charts & Posters
13,[],[],[],[],[],[]
14,DZT1968 1pc 7 Day Mini Weekly Medicine Box Holder Organizer Container Pill Cases New random color,7 ratings,[],$1.88,[],[]
15,Paver RED/Wine/Burgundy Cardstock Paper - 8.5 x 11 inch Premium 80 LB. Cover - 25 Sheets from Cardstock Warehouse,47 ratings,8 answered questions,$8.99,[],"Arts, Crafts & Sewing › Crafting › Paper & Paper Crafts › Paper › Card Stock"
16,"Thank You For Being A Friend Mug, 11 oz Ceramic Coffee Mug, Tea Mug, plus sticker",14 ratings,[],[],[],Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Novelty › Drinkware › Coffee Mugs
17,"FINCIBO Galaxy J1 J120 Case, Dual Layer Stealth Hybrid Armor Protector Cover Stand TPU W/ Holster For Samsung Galaxy J1 J120 AMP 2 2016 Express 3 Luna - She Believed She Could So She Did On Rose Gold",[],[],[],[],"Cell Phones & Accessories › Cases, Holsters & Sleeves › Holsters"
18,UHM Commercial Brass Single Handle Pull Out Sprayer Kitchen Sink Faucet Mixer,[],[],[],[],Tools & Home Improvement › Kitchen & Bath Fixtures › Kitchen Fixtures › Kitchen Faucets › Bar Sink Faucets
19,Kotobukiya Tales Of Berseria: Velvet Crowe Artfx J Statue,8 ratings,4 answered questions,$243.55,[],[]
20,"ROYI Memory Foam Seat/Chair Cushion for Relieves Back, Sciatica Pain，Tailbone Pain,Coccyx, Degenerating Disc, Orthopedic, Osteoarthritis, Sacrum, Prostate Cushion, Low Back Pain Cushion，Hip Shaping",151 ratings,32 answered questions,$36.99,[],Home & Kitchen › Bedding › Bed Pillows & Positioners › Specialty Medical Pillows
21,"Jesus Fish | Premium 11oz Coffee Mug Gift - Perfect Christian Gifts, Catholic Confirmation Gifts, Jesus, Bible, Easter, for Men, Women, Teens, Teenagers, Religion, God, Holy, Church, Family, Community",4 ratings,[],[],[],Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Novelty › Drinkware › Coffee Mugs
22,T&B 2M Baby Safety Anti Collision Bar 6.5 Feet Glass table Edge Furniture Guard Strip Horror Crash Bar Corner Foam Bumper Protection Article Protective Equipment For Child (Pink),[],[],[],[],Baby Products › Safety › Edge & Corner Guards
23,Russian Modern Electric Samovar Teapot Set Gzhel Design | Tea Kettle Teakettle,2 ratings,[],[],[],Home & Kitchen › Kitchen & Dining › Dining & Entertaining › Serveware › Beverage Serveware › Teapots & Coffee Servers › Teapots
24,"Tickle & Main Big Sister Gift Set- I Hereby Crown You Big Sister Book, Doll, and Child Size Crown",216 ratings,23 answered questions,$24.99,$5.00 (17%),[]
25,[],[],[],[],[],[]
26,LaCie 4TB (2 x 2TB) Rugged RAID Thunderbolt & USB 3.0 Mobile Hard Drive STFA4000400 PLUS Blucoil Hard Drive Case - VALUE BUNDLE,1 rating,[],[],[],Electronics › Computers & Accessories › Data Storage › External Hard Drives
27,[],[],[],[],[],[]
28,Lauren Ralph Lauren Silver Tone Twist Design Link Toggle Bracelet,[],[],[],[],[]
29,Children's Factory Sensory Table - Blue,1 rating,[],$72.48,[],Home & Kitchen › Furniture › Kids' Furniture › Tables & Chairs › Tables
30,Hallmark Vida Spanish 25th Anniversary Greeting Card (Anniversary Couple),6 ratings,[],$3.49,[],Office Products › Office & School Supplies › Paper › Cards & Card Stock › Greeting Cards
31,[],[],[],[],[],[]
