,Product_Name,Ratings,Questions_Answered,Current_Price,Savings,Category,
1,Vaunn Medical Tool-Free Assembly Spa Bathtub Adjustable Shower Chair Seat Bench with Removable Back,"1,853 ratings",176 answered questions,$39.99 ,[],"Mobility & Daily Living Aids > Bathroom Safety, Aids & Accessories > Bath & Shower Aids > Bath & Shower Safety Seating & Transfer Benches",https://www.amazon.com/Tool-Free-Bathtub-Adjustable-Shower-Removable/dp/tech-data/B01LYI5R2V?SubscriptionId=AKIAJZVN57AVTBBCDT2Q&tag=randomking20-20%20&linkCode=xm2&camp=2025&creative=386001&creativeASIN=B01LYI5R2V
2,Forge Thin Blue Line Flag Police Pin (Value Pack),[],4 answered questions,$8.99 ,[],"Clothing, Shoes & Jewelry > Men > Jewelry > Tie Pins",https://www.amazon.com/Thin-Blue-Line-Police-Value/dp/tech-data/B01LYI5TL2%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI5TL2
3,Horseback Riding Gifts Keep Calm Chin Up Heels Down Equestrian Gift Coffee Mug Tea Cup Pink,30 ratings,[],$14.99 ,[],Home & Kitchen > Kitchen & Dining > Dining & Entertaining > Novelty > Drinkware > Coffee Mugs,https://www.amazon.com/Horseback-Riding-Gifts-Equestrian-Coffee/dp/tech-data/B01LYI6A4U%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI6A4U
4,Shawn Mendes - Treat You Better - Sheet Music Single,[],[],$9.99 ,[],Musical Instruments > Instrument Accessories > General Accessories,https://www.amazon.com/Shawn-Mendes-Treat-Better-Single/dp/tech-data/B01LYI6AM9%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI6AM9
5,Funny Work T-Shirt Attention Grabber 100% Cotton Fire Me I Beg You,[],[],[],[],"Clothing, Shoes & Jewelry > Men > Clothing > Active > Active Shirts & Tees",https://www.amazon.com/Funny-T-Shirt-Attention-Grabber-Cotton/dp/tech-data/B01LYI6JPX%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI6JPX
6,Home Decorators Anya 3 Light Chrome Semi Flush Mount Pleated Cream Fabric Shade,1 rating,[],[],[],Tools & Home Improvement > Lighting & Ceiling Fans > Ceiling Lights > Close To Ceiling Lights,https://www.amazon.com/Home-Decorators-Chrome-Pleated-Fabric/dp/tech-data/B01LYI7MT2?SubscriptionId=AKIAJZVN57AVTBBCDT2Q&tag=randomking20-20%20&linkCode=xm2&camp=2025&creative=386001&creativeASIN=B01LYI7MT2
7,JANIZZ 2.20 MM Hand Made 14KT Gold Nose Stud Nose PIN with Diamond .03 Cents with Certificate Twist Screw 25G,[],[],[],[],"Clothing, Shoes & Jewelry > Women > Jewelry > Body Jewelry > Piercing Jewelry",https://www.amazon.com/NATURAL-DIAMOND-03CENTS-CERTIFICATE-TWIST/dp/tech-data/B01LYI7XXF%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI7XXF
8,"mySimple Products Safe & Non-Toxic {Various Sizes} 1 Pound Bag of Gravel, Rocks & Stones Decor Made of Genuine Glass for Freshwater & Saltwater Aquarium w/Dark Polished Edgy Smooth Bead Style [Black]",[],[],$17.49 ,[],Pet Supplies > Fish & Aquatic Pets > Aquarium Substrate > Gravel,https://www.amazon.com/Non-Toxic-Freshwater-Saltwater-Aquarium-Polished/dp/tech-data/B01LYI8528%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYI8528
9,Kindle Edition,[],[],[],[],Kindle Store > Kindle eBooks > Science Fiction & Fantasy,https://www.amazon.com/Darkness-New-Species-Book-12-ebook/dp/tech-data/B01LYJ7WO8?SubscriptionId=AKIAJZVN57AVTBBCDT2Q&tag=randomking20-20%20&linkCode=xm2&camp=2025&creative=386001&creativeASIN=B01LYJ7WO8
10,KECC Laptop Case for Old MacBook Pro 13” Retina (-2015) Plastic Case Hard Shell Cover A1502 / A1425 (Nebula),"3,797 ratings",173 answered questions,$19.99 ,[],"Electronics > Computers & Accessories > Laptop Accessories > Bags, Cases & Sleeves > Hard Shell Cases",https://www.amazon.com/KEC-MacBook-Galaxy-Universe-Pattern/dp/tech-data/B01LYJ8OFO%3FSubscriptionId%3DAKIAJZVN57AVTBBCDT2Q%26tag%3Drandomking20-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D386001%26creativeASIN%3DB01LYJ8OFO
