Company,Item Description,Sale/Auction Duration (Mins),Inventory (1 = Y/0 = N),Inventory (Approx. #),Watchers,Watchers (Normalized),Questions for Seller/Provider (1 = Y/0 = N),Questions for Seller/Provider (#),weblink
eBay,Boat,7140,0,0,157,157,N/A,0,https://www.ebay.com/itm/1988-Sea-Ray-34-Sedan-Bridge-New-York/352850975594?hash=item52278e9b6a:g:ceoAAOSwc5Jdyckz
eBay,Car,2640,0,,449,449,N/A,0,https://www.ebay.com/itm/1963-Chevrolet-Corvette-Split-Window-Coupe/113956526979?&_trksid=p2041548.m738_trksid=p2041664.m738
eBay,Car,549,0,0,5 per hour (hot),100,N/A,0,https://www.ebay.com/itm/1980-Other-Makes-Renaissance-Cars-Tropica/303352517356?hash=item46a13812ec:g:ufEAAOSwyMVdmEh8
eBay,Motorcycle,5940,0,0,0,0,N/A,0,https://www.ebay.com/itm/2006-Suzuki-Boulevard/254417524323?hash=item3b3c775663:g:msoAAOSw~BtdF1ku
eBay,ATV,3420,0,0,21,21,N/A,0,https://www.ebay.com/itm/ATV-4x4-Can-Am-2018-Outlander-450-DPS/183998310071?hash=item2ad72766b7:g:M48AAOSwYCBdGlhi
eBay,Necklace,0,1,1080,412,412,N/A,0,https://www.ebay.com/itm/Womens-Fashion-Jewelry-925-Sterling-Silver-Plated-Infinity-Cross-Necklace-4-3/183697362840
eBay,Watch,0,1,205,319 per day (hot),957,N/A,0,https://www.ebay.com/itm/Citizen-Eco-Drive-Mens-Super-Titanium-Calendar-44mm-Bracelet-Watch-AW0060-54A/303251419999
eBay,Ring,7140,0,0,33,33,N/A,0,https://www.ebay.com/itm/Solid-White-Gold-Approx-1-08ctw-Diamond-Ladies-Vintage-Crossover-Ring-Size-7/392531267037?hash=item5b64afcddd%3Ag%3AJ10AAOSwGf5dydgE&_trkparms=%2526rpp_cid%253D5cdb0c2b5d132c4307166509
eBay,Wallet,0,1,3500,15 per hour (hot),300,N/A,0,https://www.ebay.com/itm/New-Coach-F58032-F58035-Corner-Zip-Wristlet-New-With-Tags/222767324638?var=522244422047
eBay,Belts,0,1,1010,291,291,N/A,0,https://www.ebay.com/itm/Genuine-Leather-Belt-For-Men-Ratchet-Belt-Autonomic-Belt-Buckle/333257113408?hash=item4d97abff40:m:maHQ1AeSdtkCXqxnUTPVtqQ&var=542270621708
