,Requestors,Titles,HITs,Reward,Created
0,Alexander Elias,What type of instagram account is this?,"46,048",$0.03,2019-11-18 11:23:09.322671
1,Computer Vision Turk,[NEW BATCH] Trace Object Boundaries,"17,742",$0.60,2019-11-15 14:23:09.322700
2,Computer Vision Turk,Verify All Instances of Object Have Boundaries,"17,164",$0.15,2019-11-17 14:23:09.322707
3,Eric Meisel,Find Organization Data Based on Organization Name,"10,344",$0.01,2019-11-15 14:23:09.322713
4,James Billings,Market Research Survey,"9,764",$0.01,2019-11-18 14:22:09.322717
5,IC3 AI team,P.808 test,"7,279",$0.50,2019-11-16 14:23:09.322723
6,Phil Maher,"""Archival Video Reviewer"" Create title, 10 keywords and pick category by watching a very short (5 second) historic video clip.","7,254",$0.01,2019-11-18 13:45:09.322728
7,Noah Turk,Check if two web pages describe the same product,"3,893",$0.10,2019-11-18 13:44:09.322733
8,Crowdsurf Support,"Review, edit, and score the transcription of General Content up to 35 Seconds of Media - Earn up to $0.14 per HIT!","3,494",$0.02,2019-11-18 14:23:03.322738
9,Content Research,Clean Up How-To Questions,"3,210",$0.05,2019-11-18 08:23:09.322743
10,Crowdsurf Support,Transcribe up to 35 Seconds of General Content to Text - Earn up to $0.19 per HIT!,"2,697",$0.05,2019-11-18 13:23:09.322749
11,NLUResearch,Explain a Story regular largescale,"1,993",$0.90,2019-11-15 14:23:09.322754
12,Crisis Computing,Disaster-Related Tweets Categorization,"1,803",$0.20,2019-11-18 09:23:09.322758
13,Kensuke Harada,【Research】Evaluate food arrangement to choose option(20 simple questions),"1,521",$0.10,2019-11-16 14:23:09.322763
14,Michael Benson,Find the general email address,"1,443",$0.01,2019-11-17 23:23:09.322768
15,Ben Baker,Type the highlighted name shown in the image.,"1,088",$0.06,2019-11-18 08:23:09.322773
16,Crowdsurf Support,"Review, edit, and score the transcription of up to 35 seconds of media - Earn up to $0.14 per HIT!","1,060",$0.02,2019-11-18 14:14:09.322778
17,NLUResearch,Explain a Story regular largescale,942,$1.10,2019-11-04 14:23:09.322783
18,Job Spotter,Notez les coordonnées du magasin qui arbore un panneau « On embauche » (ATTENTION : ce résultat peut contenir du contenu réservé,794,$0.04,2019-11-15 14:23:09.322788
19,Wesley Chan,Take 1-minute Transit Survey (in Hindi),743,$0.15,2019-11-11 14:23:09.322792
20,Crowdsurf Support,Full Text Review - Earn up to $0.17 per media minute,738,$0.17,2019-11-18 14:20:09.322797
21,Panel,"Extract summary information from 12 shopping receipts (Payment Method, Date)",707,$0.05,2019-11-18 14:14:09.322802
22,Jacopo Margutti,Read sentences and answer questions,541,$0.04,2019-11-13 14:23:09.322806
23,NLUResearch,Explain a Story regular largescale,517,$1.10,2019-11-04 14:23:09.322811
24,NLUResearch,Explain a Story regular largescale,489,$0.90,2019-10-24 00:00:00
25,Cardcow,Enter Detailed Information for a Postcard,472,$0.06,2019-11-17 14:23:09.324735
26,Ai2 Israel,AI research - Decompose complex questions into steps. --BACK TO LOW-LEVEL DECOMPOSITION!-- Random guesses not approved!,455,$0.40,2019-11-17 14:23:09.324745
27,Management Research,Extract 4 numbers related to executive perks from a firm document,449,$0.20,2019-11-18 12:23:09.324751
28,Analytics,Find topics in given texts,396,$0.01,2019-11-16 14:23:09.324758
